Date,Expense,Type,Description
2020-01-02,7.9,Food,Food
2020-01-02,0.79,Food,Food
2020-01-14,14.9,Food,Food
2020-01-14,28.53,Food,Snack
2020-01-24,4.44,Utilities consumables,Food conteiner
2020-01-24,79.2,Entertainment,Movie tickets
2020-01-25,4.1,Utilities consumables,Toilet paper
2020-01-28,14.9,Food,Lunch
2020-01-28,14.37,Food,Eating out
2020-01-28,11.39,Utilities consumables,Skin care
2020-01-28,29.9,Sport,Swimming equipment
2020-01-28,7.9,Traveling,Tickets
2020-01-28,20.5,Food,Snack
2020-01-28,45.88,Food,Snack
2020-01-31,11.39,Food,Lunch
2020-02-01,11.85,Utilities consumables,Toilet paper
2020-02-01,8.12,Entertainment,Museum
2020-02-09,23,Food,Food
2020-02-10,28.53,Traveling,Eating out
2020-02-18,4.91,Other,Barber
2020-02-18,20.03,Transport,Fuel
2020-02-18,68,Food,Food
2020-02-19,45.88,Other,Cable
2020-02-21,12.99,Food,Lunch
2020-03-01,17.40,Sport,Pants
2020-03-06,18.14,Food,Food
2020-03-20,11.76,Other,Swimware
2020-03-20,3.38,Other,Dentist
2020-03-20,11.85,Utilities consumables,Skin care
2020-03-20,1.65,Other,Pants
2020-03-20,2.54,Food,Alcohol
2020-03-29,12.99,Food,Alcohol
2020-04-22,29.99,Traveling,Transport
2020-04-28,14.9,Food,Eating out
2020-04-29,6.93,Food,Food
2020-04-29,27.01,Food,Eating out
2020-05-01,5.07,Traveling,Alcohol
2020-05-05,68,Traveling,Boat tickets
2020-05-06,3,Food,Food
2020-05-06,4.91,Living costs,Water + Trash
2020-05-06,15.61,Traveling,Public transport
2020-05-13,67.8,Food,Lunch
2020-05-18,14.37,Food,Snack
2020-06-04,3.5,Utilities consumables,Storage box
2020-06-11,9.33,Food,Food
2020-06-14,20.5,Utilities consumables,Dish washing soap
2020-06-15,3.37,Festival,Food
2020-06-15,2.29,Food,Food
2020-06-15,4.91,Food,Food
2020-06-20,9.33,Food,Food
2020-06-20,28.53,Food,Eating out
2020-06-23,1.34,Transport,Fuel
2020-06-25,20.5,Festival,Snack
2020-06-25,3.74,Other,Cable
2020-06-25,3.74,Food,Food
2020-06-25,17.40,Food,Eating out
2020-07-05,29.9,Sport,Shaker
2020-07-05,6.9,Entertainment,Festival
2020-07-05,0.75,Entertainment,Movie snack
2020-07-08,4.91,Traveling,Snack
2020-07-10,20.5,Transport,Fuel
2020-07-10,5.97,Food,Food
2020-07-10,7.9,Food,Food
2020-07-10,31.20,Traveling,Eating out
2020-07-10,48.78,Food,Food
2020-07-13,24,Traveling,Eating out
2020-07-13,20.03,Food,Baking
2020-07-13,17.3,Food,Eating out
2020-07-14,7.9,Entertainment,Movie snack
2020-07-14,7.9,Food,Food
2020-07-15,16,Food,Eating out
2020-07-19,2.44,Food,Food
2020-07-19,68,Food,Lunch
2020-07-19,20.03,Food,Snack
2020-07-20,29.9,Traveling,Eating out
2020-07-21,4.99,Food,Snack
2020-07-21,4.91,Food,Food
2020-07-22,28.53,Food,Food
2020-07-22,46.52,Food,Food
2020-07-24,12.99,Food,Alcohol
2020-07-26,4.99,Food,Food
2020-07-29,4.1,Food,Food
2020-08-08,0.79,Food,Lunch
2020-08-08,2.54,Food,Food
2020-08-10,17.40,Food,Lunch
2020-08-10,29.9,Traveling,Snack
2020-08-16,15.61,Entertainment,Festival
2020-08-16,14,Other,Mothers day present
2020-08-21,25.62,Transport,Fuel
2020-08-23,3.37,Food,Snack
