Date Expense Description
2020-05-05 10.00 Test1
2020-05-01 12.25 Test2
2020-04-01 10.00 Test1
2020-02-01 12.00 Test1
2020-01-03 10.00 Test2
2020-01-03 12.00 Test1
2020-01-02 10.50 Test1
2020-01-01 10.00 Test1
2019-11-02 100.00 Test2
2019-11-01 10.00 Test1
2019-10-14 2.34 Test2
2019-09-01 11.20 Test1
2019-08-01 10.00 Test1
2020-05-05 10.00 Test1
2020-05-01 12.25 Test2
2020-04-01 10.00 Test1
2020-02-01 12.00 Test1
2020-01-03 10.00 Test2
2020-01-03 12.00 Test1
2020-01-02 10.50 Test1
2020-01-01 10.00 Test1
2019-11-02 100.00 Test2
2019-11-01 10.00 Test1
2019-10-14 2.34 Test2
2019-09-01 11.20 Test1
2019-08-01 10.00 Test1
