Date Expense Description
2020-03-19 58.94 Snack
2020-03-12 54.46 Food
2020-02-11 24.59 Food
2020-01-24 79.23 Food
2020-01-18 30.93 Restaurants
2020-01-12 13.8 Restaurants
2020-01-10 11.95 Snack
2020-01-03 28.42 Snack
2019-12-29 57.13 Food
2019-12-26 43.44 Food
2019-12-26 43.13 Restaurants
2019-12-18 13.84 Food
2019-12-16 57.71 Snack
2019-12-01 64.63 Restaurants
2019-11-27 56.33 Snack
2019-11-17 62.93 Restaurants
2019-11-09 39.91 Restaurants
2019-10-03 54.14 Food
2019-10-01 83.21 Food
2019-09-20 35.52 Snack
2019-09-17 35.61 Food
2019-09-14 24.75 Food
2019-09-03 60.83 Restaurants
2019-09-02 54.92 Snack
2019-08-12 59.07 Food
2019-08-09 96.47 Restaurants
2019-07-08 89.44 Restaurants
2019-07-06 99.22 Food
2019-07-03 5.54 Restaurants
2019-06-20 26.84 Restaurants
2019-06-09 34.76 Food
2019-06-07 16.49 Food
2019-05-29 35.67 Restaurants
2019-05-19 49.43 Food
2019-05-16 33.41 Food
2019-04-02 33.48 Snack
2019-03-29 99.37 Food
2019-03-25 11.78 Snack
2019-03-07 86 Food
2019-02-27 95.51 Snack
2019-02-16 68.29 Snack
2019-01-28 73.17 Restaurants
2019-01-24 6.41 Restaurants
2019-01-23 58.28 Restaurants
2019-01-01 36.1 Snack
2018-12-18 25.95 Snack
2018-11-28 42.61 Food
2018-11-08 76.69 Food
2018-11-03 32.02 Snack
2018-11-01 39.94 Food
2018-10-21 66.57 Snack
2018-10-08 23.32 Food
2018-09-29 45.67 Restaurants
2018-09-28 93.74 Snack
2018-09-26 15.6 Snack
2018-08-27 43.26 Food
2018-08-25 39.19 Restaurants
2018-08-19 68.79 Food
2018-08-06 11.25 Restaurants
2018-08-05 33.2 Food
2018-06-18 83.07 Food
2018-06-13 43.93 Food
2018-06-08 11.5 Food
2018-04-12 14.53 Food
2018-04-12 86.02 Snack
2018-04-09 88.29 Restaurants
2018-04-09 64.93 Snack
2018-04-02 60.35 Snack
2018-03-26 31.36 Restaurants
2018-03-24 42.64 Restaurants
2018-03-18 89.57 Snack
2018-01-04 74.25 Food
2017-12-21 50.33 Restaurants
2017-12-20 54.02 Food
2017-12-16 24.6 Snack
2017-12-12 57.93 Food
2017-12-10 11.51 Food
2017-12-01 28.78 Snack
2017-11-30 48.39 Snack
2017-11-23 61.94 Snack
2017-11-12 69.43 Food
2017-11-05 78.2 Restaurants
2017-10-19 76.1 Restaurants
2017-09-19 99.58 Food
2017-09-13 62.49 Snack
2017-09-07 92.78 Restaurants
2017-08-29 16.64 Food
2017-08-29 46.23 Snack
2017-08-25 20.81 Restaurants
2017-08-06 28.9 Restaurants
2017-07-19 17.03 Snack
2017-07-17 59.76 Snack
2017-07-16 4.75 Food
2017-07-09 99.72 Restaurants
2017-06-25 13.84 Restaurants
2017-04-25 99.97 Food
2017-04-17 79.2 Snack
2017-03-24 68.57 Food
2017-03-20 60.65 Restaurants
2017-03-03 23.79 Food
2017-02-13 76.79 Food
2017-01-27 78.11 Food
2017-01-25 99.45 Snack
2017-01-19 57.48 Snack
2017-01-08 5.52 Snack
2016-12-23 34.74 Food
2016-12-21 32.11 Snack
2016-12-12 13.03 Food
2016-12-09 44.58 Snack
2016-11-28 99.56 Restaurants
2016-11-28 35.94 Food
2016-11-06 41.25 Food
2016-09-20 43.47 Food
2016-09-12 7.59 Snack
2016-08-26 12.89 Snack
2016-07-19 53.94 Snack
2016-07-15 29.75 Food
2016-06-09 9.35 Food
2016-06-03 8.59 Food
2016-04-12 24.79 Snack
2016-04-03 17.16 Food
2016-03-30 64.29 Snack
2016-03-24 62.98 Snack
2016-02-13 42.59 Restaurants
2016-01-25 36.89 Restaurants
2016-01-03 48.19 Restaurants
2016-01-01 53.18 Snack
2015-12-21 48.86 Snack
2015-11-22 1.46 Restaurants
2015-10-19 67.78 Restaurants
2015-09-25 1.71 Restaurants
2015-09-23 88.96 Restaurants
2015-09-05 38.54 Snack
2015-08-30 30.78 Restaurants
2015-08-22 75.17 Snack
2015-07-16 54.73 Restaurants
2015-07-14 65.32 Snack
2015-07-11 46.61 Restaurants
2015-07-10 85.04 Food
2015-07-10 42.99 Snack
2015-07-10 63.29 Restaurants
2015-06-18 99.33 Restaurants
2015-06-15 44.42 Restaurants
2015-05-21 17.62 Snack
2015-05-07 10.69 Restaurants
2015-04-09 14.88 Snack
2015-04-03 9.39 Restaurants
2015-03-30 9.26 Food
2015-03-26 89.08 Snack
2015-01-13 31.03 Snack
