Date Expense Description
2020-04-14 83.64 Theater
2020-04-13 24.27 Shopping
2020-04-09 94.31 Escape.room
2020-04-03 64.21 Movies_tickets
2020-04-01 95.03 Festivals
2020-03-27 71.75 Festivals
2020-03-26 28.9 Movies_snack
2020-03-16 15.6 Movies_snack
2020-03-15 66.65 Movies_snack
2020-03-02 23.65 Movies_tickets
2020-02-26 26.95 Escape.room
2020-01-23 24.92 Escape.room
2020-01-09 12.88 Movies_tickets
2020-01-05 88.16 Festivals
2019-12-21 17.76 Shopping
2019-12-06 61.05 Concerts
2019-11-20 50.55 Escape.room
2019-11-02 99.85 Movies_snack
2019-10-26 15.89 Escape.room
2019-10-22 2.48 Escape.room
2019-10-21 11.83 Escape.room
2019-10-12 44.95 Concerts
2019-09-30 95.65 Shopping
2019-09-19 38.6 Festivals
2019-09-18 62.92 Theater
2019-09-03 99.36 Movies_snack
2019-08-11 24.59 Shopping
2019-08-09 75.22 Festivals
2019-07-27 80.96 Movies_snack
2019-07-25 6.18 Theater
2019-07-12 67.86 Concerts
2019-06-12 16.88 Shopping
2019-05-20 46.94 Movies_snack
2019-04-30 66.09 Concerts
2019-02-19 73.77 Concerts
2019-02-07 10.7 Escape.room
2019-01-21 70.12 Movies_tickets
2018-12-11 55.87 Festivals
2018-12-10 78.46 Festivals
2018-12-05 1.2 Concerts
2018-10-31 66.58 Festivals
2018-10-22 56.91 Concerts
2018-10-19 73.71 Festivals
2018-10-18 58.23 Festivals
2018-10-16 89.73 Shopping
2018-10-12 41.16 Escape.room
2018-10-09 68.81 Theater
2018-09-16 16.81 Escape.room
2018-09-13 28.02 Escape.room
2018-08-29 60.77 Movies_tickets
2018-07-25 39.7 Movies_snack
2018-07-02 18.3 Shopping
2018-06-11 80.93 Concerts
2018-06-02 71.08 Escape.room
2018-06-02 40.09 Theater
2018-05-27 78.93 Shopping
2018-04-30 72.35 Movies_tickets
2018-02-22 2.09 Movies_tickets
2018-02-14 62.73 Movies_tickets
2018-01-31 89.13 Movies_snack
2018-01-31 4.51 Theater
2018-01-29 61.59 Movies_tickets
2018-01-26 30.15 Festivals
2018-01-10 53.05 Movies_tickets
2018-01-08 72.25 Theater
2017-12-29 47.04 Movies_tickets
2017-11-13 37.04 Movies_snack
2017-11-12 72.86 Concerts
2017-10-23 57.7 Festivals
2017-10-12 20.3 Concerts
2017-10-01 28.92 Movies_snack
2017-09-26 72.97 Shopping
2017-09-09 91.4 Movies_tickets
2017-08-16 10.23 Movies_tickets
2017-08-07 44.47 Movies_tickets
2017-07-27 71.91 Escape.room
2017-07-09 98.49 Concerts
2017-07-07 65.23 Escape.room
2017-06-29 80.28 Shopping
2017-06-23 21.3 Movies_tickets
2017-06-22 43.92 Movies_snack
2017-05-15 47.29 Movies_snack
2017-05-08 80.33 Movies_tickets
2017-05-02 62.44 Festivals
2017-04-24 53.25 Movies_snack
2017-04-21 47.25 Concerts
2017-04-19 78.8 Movies_tickets
2017-04-06 95.82 Escape.room
2017-03-16 62.68 Movies_snack
2017-03-15 48.58 Shopping
2017-02-14 89.03 Escape.room
2017-01-28 80.99 Movies_tickets
2017-01-17 11.23 Movies_tickets
2016-12-29 73.54 Shopping
2016-12-16 90.98 Movies_tickets
2016-11-29 11.21 Theater
2016-11-26 20.48 Escape.room
2016-11-05 9.65 Theater
2016-11-04 35.08 Movies_tickets
2016-10-29 72.89 Concerts
2016-10-13 22.67 Concerts
2016-10-11 5.28 Festivals
2016-10-02 22.63 Escape.room
2016-09-02 77.6 Shopping
2016-08-30 86.71 Escape.room
2016-08-11 52.36 Concerts
2016-08-04 4.84 Shopping
2016-07-23 23.3 Theater
2016-06-03 98.21 Movies_tickets
2016-06-01 67.91 Festivals
2016-05-09 79.77 Movies_tickets
2016-05-02 83.44 Theater
2016-04-09 74.81 Theater
2016-03-28 72.1 Shopping
2016-03-21 64.12 Theater
2016-02-26 14.85 Concerts
2016-02-25 8.7 Escape.room
2016-02-20 83.79 Festivals
2016-02-02 65.97 Festivals
2016-01-14 10.92 Movies_snack
2015-12-31 42.35 Theater
2015-12-26 62.74 Escape.room
2015-12-25 17.85 Concerts
2015-12-21 52.64 Movies_snack
2015-12-19 67.88 Movies_tickets
2015-12-13 77.53 Concerts
2015-11-02 50.75 Festivals
2015-10-21 89.45 Concerts
2015-10-21 18.15 Movies_snack
2015-08-12 72.63 Theater
2015-07-13 40.32 Movies_snack
2015-06-23 8.96 Movies_snack
2015-06-06 79.19 Theater
2015-05-26 77.73 Theater
2015-05-13 36 Concerts
2015-05-05 15.64 Movies_snack
2015-04-22 21.37 Shopping
2015-04-05 23.66 Movies_snack
2015-04-04 16.4 Movies_snack
2015-03-17 25.67 Shopping
2015-03-11 73.88 Movies_tickets
2015-02-01 37.41 Concerts
2015-01-27 3.64 Concerts
2015-01-25 65.25 Shopping
2015-01-24 51.48 Escape.room
2015-01-23 92.99 Theater
2015-01-18 93.47 Theater
2015-01-17 78.82 Shopping
2015-01-13 51.88 Movies_tickets
2015-01-10 11.67 Concerts
